id,assess,drive,funseek,responsiv,bis,bas,basbis1,basbis2,basbis3,basbis4,basbis5,basbis6,basbis7,basbis8,basbis9,basbis10,basbis11,basbis12,basbis13,basbis14,basbis15,basbis16,basbis17,basbis18,basbis19,basbis20,basbis21,basbis22,basbis23,basbis24
258,1,12,11,20,20,43,3,2,3,4,4,3,4,3,3,1,2,4,1,4,2,2,4,4,4,4,2,4,4,4
259,1,9,13,18,22,40,4,2,2,4,4,4,4,3,3,3,2,3,4,3,3,2,4,4,4,3,1,3,3,4
260,1,12,12,15,19,39,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
261,1,12,12,18,25,42,4,3,3,4,4,3,3,4,4,3,4,3,4,3,2,4,4,4,4,3,2,2,4,4
262,1,11,6,15,25,32,2,4,3,3,2,2,3,3,3,1,4,3,2,3,1,4,3,2,4,2,2,4,4,4
263,1,12,13,20,20,45,3,3,3,4,4,3,4,3,4,2,2,3,3,4,3,2,3,4,4,4,2,2,4,3
264,1,13,13,17,20,43,3,4,3,3,3,4,4,2,3,3,2,4,3,3,3,2,4,3,3,4,3,3,4,3
265,1,13,12,17,18,42,2,3,4,4,4,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,4,3
266,1,10,11,16,23,37,2,4,3,4,3,3,3,3,3,3,2,2,4,3,2,2,3,3,4,3,2,3,3,3
267,1,13,12,19,24,44,3,3,3,4,3,2,4,4,4,3,4,4,4,3,3,2,3,4,4,3,2,3,4,4
268,1,9,10,16,20,35,3,2,3,4,4,3,3,3,2,2,2,2,3,3,2,3,3,3,3,2,2,3,3,3
269,1,8,9,15,18,32,4,2,2,4,3,2,3,2,2,3,1,3,2,3,1,3,2,2,3,2,1,3,3,3
270,1,14,13,17,14,44,4,3,4,4,4,3,4,2,4,3,2,3,1,3,3,2,2,3,2,3,3,2,3,2
271,1,7,12,17,24,36,3,4,2,3,3,4,4,3,2,4,3,1,4,3,3,4,3,3,3,2,2,3,4,3
273,1,12,7,17,16,36,3,2,3,4,3,2,3,2,3,1,3,3,2,3,1,2,4,3,3,2,3,2,4,3
274,1,11,13,15,24,39,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,4,3,4,3,3,3,3,4
275,1,13,13,19,14,45,3,3,4,4,4,2,4,1,3,2,2,3,2,4,4,2,1,4,2,3,3,2,3,2
276,1,12,11,16,17,39,4,1,3,3,1,2,1,2,3,3,2,3,3,4,3,3,4,4,3,4,3,2,4,3
277,1,9,11,14,20,34,4,2,3,4,4,3,2,3,2,2,3,2,2,2,3,2,2,3,4,2,2,4,3,3
278,1,12,9,19,23,40,4,3,3,4,3,2,4,4,3,3,2,4,3,3,2,3,4,4,4,1,2,2,4,4
279,1,11,11,16,17,38,4,2,3,4,2,2,3,1,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3
280,1,11,11,18,24,40,4,3,3,4,4,3,4,4,3,2,2,3,3,3,2,3,3,3,4,3,2,3,4,4
281,1,12,12,18,18,42,4,2,3,4,4,3,3,2,3,3,1,3,3,4,2,3,3,3,3,3,3,2,4,3
282,1,15,16,20,23,51,4,3,4,4,4,4,4,3,4,4,2,4,4,4,4,3,4,4,4,4,3,2,4,4
283,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,1,7,10,18,23,35,3,3,3,4,3,3,4,3,1,3,4,2,4,3,2,3,4,3,4,2,1,2,4,4
285,1,16,16,18,25,50,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,3,4,4
